longitude,latitude,elevation
91.8583,14.888,-2676.0
93.525,14.888,-68.0
95.1917,14.888,-60.0
96.8583,14.888,-38.0
88.5083,14.8719,-2860.0
90.175,14.8719,-2708.0
91.8417,14.8719,-2684.0
93.5083,14.8719,-76.0
95.175,14.8719,-60.0
96.8417,14.8719,-42.0
88.4917,14.8558,-2864.0
90.1583,14.8558,-2710.0
91.825,14.8558,-2687.0
93.4917,14.8558,-74.0
95.1583,14.8558,-60.0
96.825,14.8558,-50.0
88.475,14.8397,-2868.0
90.1417,14.8397,-2712.0
91.8083,14.8397,-2694.0
93.475,14.8397,-84.0
95.1417,14.8397,-62.0
96.8083,14.8397,-58.0
88.4583,14.8236,-2870.0
90.125,14.8236,-2714.0
91.7917,14.8236,-2712.0
93.4583,14.8236,-269.0
95.125,14.8236,-62.0
96.7917,14.8236,-69.0
88.4417,14.8074,-2874.0
90.1083,14.8074,-2716.0
91.775,14.8074,-2722.0
93.4417,14.8074,-109.0
95.1083,14.8074,-64.0
96.775,14.8074,-72.0
88.425,14.7913,-2876.0
90.0917,14.7913,-2718.0
91.7583,14.7913,-2718.0
93.425,14.7913,-110.0
95.0917,14.7913,-66.0
96.7583,14.7913,-78.0
88.4083,14.7752,-2880.0
90.075,14.7752,-2722.0
91.7417,14.7752,-2710.0
93.4083,14.7752,-81.0
95.075,14.7752,-62.0
96.7417,14.7752,-84.0
88.3917,14.7591,-2882.0
90.0583,14.7591,-2724.0
91.725,14.7591,-2702.0
93.3917,14.7591,-166.0
95.0583,14.7591,-62.0
96.725,14.7591,-88.0
88.375,14.743,-2884.0
90.0417,14.743,-2728.0
91.7083,14.743,-2696.0
93.375,14.743,-240.0
95.0417,14.743,-62.0
96.7083,14.743,-78.0
88.3583,14.7269,-2886.0
90.025,14.7269,-2730.0
91.6917,14.7269,-2686.0
93.3583,14.7269,-302.0
95.025,14.7269,-68.0
96.6917,14.7269,-76.0
88.3417,14.7107,-2890.0
90.0083,14.7107,-2732.0
91.675,14.7107,-2685.0
93.3417,14.7107,-374.0
95.0083,14.7107,-68.0
96.675,14.7107,-80.0
88.325,14.6946,-2890.0
89.9917,14.6946,-2736.0
91.6583,14.6946,-2692.0
93.325,14.6946,-446.0
94.9917,14.6946,-64.0
96.6583,14.6946,-84.0
88.3083,14.6785,-2894.0
89.975,14.6785,-2738.0
91.6417,14.6785,-2700.0
93.3083,14.6785,-556.0
94.975,14.6785,-66.0
96.6417,14.6785,-82.0
88.2917,14.6624,-2899.0
89.9583,14.6624,-2740.0
91.625,14.6624,-2702.0
93.2917,14.6624,-738.0
94.9583,14.6624,-71.0
96.625,14.6624,-82.0
88.275,14.6463,-2901.0
89.9417,14.6463,-2740.0
91.6083,14.6463,-2702.0
93.275,14.6463,-952.0
94.9417,14.6463,-70.0
96.6083,14.6463,-84.0
88.2583,14.6301,-2899.0
89.925,14.6301,-2744.0
91.5917,14.6301,-2700.0
93.2583,14.6301,-1147.0
94.925,14.6301,-71.0
96.5917,14.6301,-86.0
88.2417,14.614,-2901.0
89.9083,14.614,-2746.0
91.575,14.614,-2700.0
93.2417,14.614,-1214.0
94.9083,14.614,-74.0
96.575,14.614,-84.0
88.225,14.5979,-2901.0
89.8917,14.5979,-2752.0
91.5583,14.5979,-2704.0
93.225,14.5979,-1250.0
94.8917,14.5979,-76.0
96.5583,14.5979,-85.0
88.2083,14.5817,-2903.0
89.875,14.5817,-2756.0
91.5417,14.5817,-2702.0
93.2083,14.5817,-1286.0
94.875,14.5817,-75.0
96.5417,14.5817,-93.0
88.1917,14.5656,-2899.0
89.8583,14.5656,-2762.0
91.525,14.5656,-2700.0
93.1917,14.5656,-1328.0
94.8583,14.5656,-79.0
96.525,14.5656,-94.0
88.175,14.5495,-2897.0
89.8417,14.5495,-2766.0
91.5083,14.5495,-2700.0
93.175,14.5495,-1374.0
94.8417,14.5495,-85.0
96.5083,14.5495,-104.0
88.1583,14.5333,-2897.0
89.825,14.5333,-2770.0
91.4917,14.5333,-2706.0
93.1583,14.5333,-1399.0
94.825,14.5333,-88.0
